;struct;abs_ads [mol/uc];abs_ads [mol/sc];abs_ads [mg/g];abs_ads [mg/cm3];abs_ads [mol/kg];abs_ads [cm3STP/g];abs_ads [cm3STP/cm3];q_st [kjmol]
0;hcb_18-08-01_01-01-01;20.0025;320.04;172.59032435615774;95.29410340874949;10.758345313086;241.137290938068;133.14165799317072;11.31147413664077
1;cla_29-02-06_29-02-06_29-02-06_29-02-06_None_None_None_None_None_None;1412.92;1412.92;627.42103407802;73.55918299178475;39.110026445404;876.611183191856;102.77437149012802;6.862096523999478
2;sig_2_None_4_29-02-06;2943.72;2943.72;623.1942041471641;74.47094791554133;38.84654870319601;870.7056008779441;104.048258185404;7.454978001186305
3;reo-t_29-02-06_29-02-06_29-02-06_None_None_None_None_None_None_None_None_None_None;3044.82;3044.82;769.935750056538;65.38182374966993;47.993621441916005;1075.7278639403041;91.34924517739199;5.966029179177714
4;tdc_29-02-06_29-02-06_29-02-06_None_None_None_None_None_None_None_None_None;1593.62;1593.62;967.138951964682;59.83503737118504;60.286199980019994;1351.2534246934663;83.59946520634801;5.096126797422584
5;ths-c3_33-11-02_02-01-02_02-01-02;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.477712651973833
6;dtd_29-02-06_29-02-06_29-02-06_29-02-06_None_None_None_None_None_None_None_None_None_None;1647.72;1647.72;937.47305310714;60.753600342909756;58.43698858144799;1309.805246594664;84.88284992823601;5.816465943652733
7;ctn_33-11-02_30-01-02_None;15.4575;123.66;86.30286891188399;86.10471371554092;5.379653052139499;120.57941305373848;120.30255739911374;28.90929076652391
8;tdd_29-02-06_29-02-06_29-02-06_29-02-06_None_None_None_None_None_None_None_None_None_None_None_None;2704.8;2704.8;1172.49561082248;56.61076074568688;73.08702101064;1638.1707161248798;79.09461631680001;5.40892780817288
9;odi_2_02-05-09_4_29-03-09;4903.1;4903.1;852.2619333790399;58.981442580538825;53.12538955034;1190.7511883377501;82.40685180457999;5.9849872842427185
10;abr_29-02-04_29-02-04_29-02-04_02-03-04_02-03-04_02-03-04;433.56;433.56;674.387525799612;65.38767231792791;42.037662922152;942.2311570392001;91.35741659985601;5.946955005722262
11;cbd_29-02-06_29-02-06_29-02-06_29-02-06_29-02-06_29-02-06_None_None_None_None_None_None_None_None_None;763.58;763.58;631.91290125776;73.31551105913009;39.390025051856;882.887066163154;102.43392140659;6.957323915681375
12;ulg_29-03-12_07-12-12_06-12-12_06-12-12;4222.06;4222.06;910.657103451156;58.95844377475561;56.7654278176;1272.338920010008;82.37471864388401;5.878571428029941
13;odk_2_01-02-06_4_29-02-06;4680.58;4680.58;1030.157331538728;58.309652631451144;64.214424419748;1439.300546714534;81.468249889388;5.748241802412214
14;epp-a_36-11-11_36-11-11_36-11-11_36-11-11_02-07-11_02-07-11_02-07-11_02-07-11_02-07-11_02-07-11_02-07-11;3770.3;3770.3;701.0763024931299;55.28131944476724;43.70129657505;979.5198020957499;77.23716646757;5.505470326018654
15;abr_29-02-08_29-02-08_29-02-08_06-10-08_07-10-08_06-10-08;406.46;406.46;684.176789350174;71.08030324899916;42.647872526338006;955.9083808588139;99.310965597414;6.874521766924914
16;fvr_29-02-06_29-02-06_None_None_None_None_None;958.98;958.98;646.652772514386;71.89595502394992;40.308828684234;903.4811095547822;100.45056632938798;7.19500069962814
17;odh_2_01-02-04_4_29-03-04;3449.44;3449.44;818.905711334848;63.8958211608352;51.04614322406399;1144.147016777584;89.27305323900802;6.014110996247517
18;sln_35-11-03_35-11-03_29-01-03_None_None_None;86.87;173.74;399.5727866440659;133.09524690564373;24.90720167710601;558.269414368498;185.95612120960695;11.555699104621556
19;odg_29-02-08_06-10-08;3485.68;3485.68;724.385635236736;69.18690558512002;45.154273935232;1012.0868036642;96.66557524456803;6.57440422164855
20;abr_29-02-08_29-02-08_29-02-08_07-10-08_06-10-08_07-10-08;412.8;412.8;703.1272094927999;71.54823151576244;43.82913903072;982.3852589366402;99.96473894783999;7.080276119801045
21;odg_29-02-04_02-03-04;3679.46;3679.46;673.3261494059001;64.62970357151708;41.971502346364;940.7482384740141;90.29840864141201;6.264362139108548
22;oku-a_16-02-06_16-02-06_01-02-06_01-02-06_01-02-06_02-02-06;1726.82;1726.82;725.1556310618402;64.13021349237866;45.202271404222;1013.1626150699319;89.60053817935601;5.891117516769562
23;lcs-b_30-02-04_30-03-04_None;53.4725;427.78;191.905326488386;125.68571749760217;11.962337851692;268.1235504843912;175.60378045408103;20.0214973854478
24;sln_12-02-06_11-02-06_29-02-06_None_None_None;142.64;285.28;573.690076597976;79.77157709795245;35.76072975768799;801.540129348792;111.45411579126402;7.115772801783661
25;unp_29-03-12_08-12-12_09-12-12_08-12-12;958.76;958.76;802.249479187024;64.81247376016643;50.00788402992799;1120.875499844936;90.55376887963999;6.294337236873572
26;nof-c_33-11-02_33-11-02_02-01-02_01-01-02_01-01-02;78.595;314.38;370.72588553891;142.88119913350855;23.109042224906005;517.9655119863951;199.628718547225;14.214277062044056
